.hack Legend of the Twilight,"Hamazaki, Tatsuya","Izumi, Rei",Carlsen,abgeschlossen,3,3,de,Fantasy,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/117.jpg,,
"2ZKB, Feder & Wecker","Osawa, Yayoi","Osawa, Yayoi",altraverse,abgeschlossen,8,2,de,Yuri,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/87449-z6XnRWqixJ3a.jpg,,
31 I Dream,"Tanemura, Arina","Tanemura, Arina",Tokyopop,laufend,-,5,de,Shojo,https://www.tokyopop.de/manga/media/image/37/46/36/3974_0.jpg,,
A Certain Scientific Railgun,"Kamachi, Kazuma","Fuyukawa, Motoi",Seven Seas,laufend,-,1,eng,Action,https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/nx37776-4DWOI7BlCEPq.jpg,,
A Silent Voice,"Ooima, Yoshitoki","Ooima, Yoshitoki",Egmont,abgeschlossen,7,7,de,Shojo,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/55135.jpg,,
Accel World (Manga),"Kawahara, Reki","Aigamo, Hiroyuki",Tokyopop,laufend,-,1,de,Action,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/22993.jpg,,
Accel World (Novel),"Kawahara, Reki",,Tokyopop,laufend,-,3,de,Action,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/23116.jpg,,
Ace Attorney,"Kuroda, Kenji","Maekawa, Kazuo",Kodansha,abgeschlossen,5,5,eng,Mystery,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/3750-TEXviWc98uar.jpg,,
Ace Attorney Investigations,"Kuroda, Kenji","Maekawa, Kazuo",Kodansha,abgeschlossen,4,2,eng,Mystery,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/13469.jpg,,
After Hours,"Nishio, Yuuta","Nishio, Yuuta",Viz-Media,abgeschlossen,3,3,eng,Yuri,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/86292-o0Mi3Zr3XoyC.png,,
After the Rain,"Mayuzuki, Jun","Mayuzuki, Jun",altraverse,abgeschlossen,10,7,de,Shojo,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/86639-Q0KD86FOIOhw.jpg,"Akira Tachibana ist eine stille Schönheit, die einmal eine sehr erfolgreiche Läuferin im Leichtathletik-Team ihrer High-School war. Eine schwere Fußverletzung zwingt sie zum Aufhören, aber an einem Regentag findet Tachibana eine neue Leidenschaft. Sie fängt einen Teilzeitjob in einem Family Restaurant an, denn sie hat sich in den 45 Jahre alten Manager des Restaurants verliebt.
 Jun Mayuzuki erzählt mit ihrem wunderschönen Zeichenstil und einer sehr ruhigen Art eine Liebesgeschichte, welche nicht nur durch den Altersunterschied so besonders auf den Leser wirkt.",
Ai startet durch,"Yukimura, Moe","Yukimura, Moe",Tokyopop,abgeschlossen,1,1,de,Shojo,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/55-Isfj5rPRlZLK.png,,
Aishiteruze Baby,"Maki, Youko","Maki, Youko",Tokyopop,abgeschlossen,7,1,de,Shojo,"https://images-na.ssl-images-amazon.com/images/I/51bwb8WLnjL._SX333_BO1,204,203,200_.jpg",,
Alice auf Zehenspitzen,"Yoshida, Mutsumi","Yoshida, Mutsumi",altraverse,abgeschlossen,3,3,de,Shojo,https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/nx104268-LxZEgRGVcoKv.jpg,,
Angel Dust,"Nanase, Aoi","Nanase, Aoi",Panini,abgeschlossen,1,1,de,Fantasy,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/88.jpg,,
Angel Dust Neo,"Nanase, Aoi","Nanase, Aoi",Panini,abgeschlossen,1,1,de,Fantasy,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/295.jpg,,
Anonymous Noise,"Fukuyama, Ryoco","Fukuyama, Ryoco",Carlsen,abgeschlossen,18,11,de,Shojo,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/50587-JhCYjf7TNLLK.jpg,,
Another,"Kiyohara, Hiro","Ayatsuji, Yukito",Egmont,abgeschlossen,4,4,de,Horror,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/24098-A3IqwbzC4xP9.jpg,,
Ao no Exorcist,"Katou, Kazue","Katou, Kazue",Kaze,laufend,-,21,de,Action,https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/nx43492-2mvXJnP6Feqq.png,,
Aqua,"Amano, Kozue","Amano, Kozue",Tokyopop,abgeschlossen,1,1,de,Slice of Life,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/n30124-1ZSrKFS2ZeFq.jpg,,
Aria,"Amano, Kozue","Amano, Kozue",Tokyopop,abgeschlossen,6,6,de,Slice of Life,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/81.jpg,,
Arisa,"Natsumi, Ando","Natsumi, Ando",Carlsen,abgeschlossen,12,12,de,Mystery,https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/nx42309-tgzRif9CsMMf.jpg,,
Arslan Senki,"Tanaka, Yoshiki","Arakawa, Hiromu",Carlsen,laufend,-,9,de,Adventure,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/51233-keiODvZndKBu.jpg,,
Atelier of Witch Hat,"Shirahama, Kamome","Shirahama, Kamome",Egmont,laufend,-,4,de,Fantasy,https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/nx98263-4UAURoy58RVr.jpg,,
